site,date,personnel,ploidy,line,bag,height
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,41,43
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,41,60
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,41,57
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,41,39
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,41,48
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,41,46
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,41,55
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,41,41
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,41,54
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,41,43
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,41,47
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,41,44
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,41,45
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,41,45.5
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,41,43
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,41,47
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,41,41.5
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,41,45
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,41,31
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,41,42
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,91,52
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,91,51
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,91,45
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,91,51
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,91,48
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,91,47
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,91,49
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,91,45
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,91,51
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,91,46
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,91,49
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,91,47
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,91,44
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,91,43
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,91,38
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,91,44
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,91,53
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,91,48
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,91,46
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,91,42
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,46,56.9
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,46,49.2
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,46,49.3
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,46,55.7
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,46,103.6
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,46,68.4
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,46,62.4
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,46,57.6
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,46,64.2
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,46,61.6
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,46,59.5
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,46,66.9
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,46,66.2
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,46,62.6
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,46,66
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,46,67.7
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,46,65.7
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,46,63.4
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,46,61.5
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",2N,HNRY,46,59.3
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",3N,HNRY,42,56
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",3N,HNRY,42,56
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",3N,HNRY,42,43
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",3N,HNRY,42,52
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",3N,HNRY,42,64
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",3N,HNRY,42,54
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",3N,HNRY,42,56
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",3N,HNRY,42,60
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",3N,HNRY,42,61
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",3N,HNRY,42,60
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",3N,HNRY,42,63
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",3N,HNRY,42,59
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",3N,HNRY,42,52
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",3N,HNRY,42,56
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",3N,HNRY,42,50
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",3N,HNRY,42,52
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",3N,HNRY,42,44
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",3N,HNRY,42,43
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",3N,HNRY,42,49
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",3N,HNRY,42,39
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",3N,HNRY,92,62
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",3N,HNRY,92,57
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",3N,HNRY,92,64
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",3N,HNRY,92,62
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",3N,HNRY,92,56
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",3N,HNRY,92,74
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",3N,HNRY,92,54
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",3N,HNRY,92,52
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",3N,HNRY,92,65
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",3N,HNRY,92,52
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",3N,HNRY,92,52
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",3N,HNRY,92,48
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",3N,HNRY,92,70
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",3N,HNRY,92,52
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",3N,HNRY,92,46
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",3N,HNRY,92,52
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",3N,HNRY,92,56
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",3N,HNRY,92,59
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",3N,HNRY,92,45
Bogue Sound,3/11/2022,"Tal, Mark, and Jacob",3N,HNRY,92,62
